trial_id,short_trial_name,nct_number,phase,randomized,controlled,single_arm,structured_source_count,publication_available,ctgov_available,fda_review_available,core_concepts_reported_any_source_count,core_concepts_reported_any_source_percent,any_source_reports_any_adverse_event,any_source_reports_grade_3_or_higher_adverse_event,any_source_reports_serious_adverse_event,any_source_reports_fatal_adverse_event,any_source_reports_adverse_event_leading_to_discontinuation,any_source_reports_dose_interruption,any_source_reports_dose_reduction
TRIAL001,DESTINY-Breast01,NCT03248492,2,no,no,yes,3,yes,yes,yes,7,100.0,yes,yes,yes,yes,yes,yes,yes
TRIAL002,DREAMM-2,NCT03525678,2,no,no,yes,3,yes,yes,yes,7,100.0,yes,yes,yes,yes,yes,yes,yes
TRIAL003,EV-201,NCT03219333,2,no,no,yes,3,yes,yes,yes,7,100.0,yes,yes,yes,yes,yes,yes,yes
TRIAL004,IMMU-132-01,NCT01631552,1/2,no,no,yes,3,yes,yes,yes,6,85.7,yes,yes,yes,yes,yes,no,yes
TRIAL005,ASCENT,NCT02574455,3,yes,yes,no,2,yes,yes,no,6,85.7,yes,yes,yes,yes,yes,no,yes
TRIAL006,ALFA-0701,NCT00927498,3,yes,yes,no,2,yes,no,yes,2,28.6,no,yes,no,yes,no,no,no
TRIAL007,SG035-0003,NCT00848926,2,no,no,yes,2,yes,yes,no,6,85.7,no,yes,yes,yes,yes,yes,yes
TRIAL008,SG035-0004,NCT00866047,2,no,no,yes,2,yes,yes,no,6,85.7,no,yes,yes,yes,yes,yes,yes
TRIAL009,EMILIA,NCT00829166,3,yes,yes,no,2,yes,yes,no,5,71.4,no,yes,yes,yes,yes,no,yes
TRIAL010,INO-VATE ALL,NCT01564784,3,yes,yes,no,2,yes,yes,no,3,42.9,yes,no,yes,yes,no,no,no
TRIAL011,GO29365,NCT02257567,1/2,yes,yes,no,3,yes,yes,yes,6,85.7,no,yes,yes,yes,yes,yes,yes
TRIAL012,LOTIS-2,NCT03589469,2,no,no,yes,2,yes,yes,no,5,71.4,yes,yes,yes,yes,yes,no,no
TRIAL013,innovaTV 204,NCT03438396,2,no,no,yes,2,yes,yes,no,5,71.4,yes,yes,yes,yes,yes,no,no
TRIAL014,innovaTV 301,NCT04697628,3,yes,yes,no,2,yes,yes,no,5,71.4,yes,yes,yes,yes,yes,no,no
TRIAL015,SORAYA,NCT04296890,3,no,no,yes,2,yes,yes,no,7,100.0,yes,yes,yes,yes,yes,yes,yes
TRIAL016,MIRASOL,NCT04209855,3,yes,yes,no,2,yes,yes,no,4,57.1,no,no,yes,yes,no,yes,yes
TRIAL017,DREAMM-7,NCT04246047,3,yes,yes,no,2,yes,yes,no,4,57.1,yes,yes,yes,yes,no,no,no
TRIAL018,DREAMM-8,NCT04484623,3,yes,yes,no,2,yes,yes,no,4,57.1,yes,yes,yes,yes,no,no,no
TRIAL019,TROPION-Breast01,NCT05104866,3,yes,yes,no,2,yes,yes,no,4,57.1,yes,yes,yes,yes,no,no,no
TRIAL020,TROPION-Lung05,NCT04484142,2,no,no,yes,2,yes,yes,no,7,100.0,yes,yes,yes,yes,yes,yes,yes
TRIAL021,LUMINOSITY,NCT03539536,2,no,no,yes,1,yes,no,no,3,42.9,yes,yes,no,yes,no,no,no
TRIAL022,TROPION-Breast02,NCT05374512,3,yes,yes,no,1,yes,no,no,7,100.0,yes,yes,yes,yes,yes,yes,yes
TRIAL023,CADENZA,NCT03386513,1/2,no,no,yes,1,yes,no,no,4,57.1,yes,yes,yes,no,no,yes,no
