trial_id,noncomparability_category,pair_count
TRIAL001,ae_definition_or_causality_mismatch,10
TRIAL001,ctgov_mortality_not_fatal_ae,4
TRIAL001,denominator_or_population_mismatch,6
TRIAL001,different_arm_or_dose,28
TRIAL002,ae_definition_or_causality_mismatch,2
TRIAL002,ctgov_mortality_not_fatal_ae,6
TRIAL002,ctgov_time_window_difference,4
TRIAL002,different_arm_or_dose,54
TRIAL003,ae_definition_or_causality_mismatch,5
TRIAL003,ctgov_mortality_not_fatal_ae,3
TRIAL003,ctgov_time_window_difference,1
TRIAL003,denominator_or_population_mismatch,1
TRIAL003,different_arm_or_dose,5
TRIAL004,ae_definition_or_causality_mismatch,2
TRIAL004,ctgov_mortality_not_fatal_ae,1
TRIAL004,denominator_or_population_mismatch,3
TRIAL005,ctgov_mortality_not_fatal_ae,2
TRIAL005,denominator_or_population_mismatch,1
TRIAL005,different_arm_or_dose,3
TRIAL006,ae_definition_or_causality_mismatch,1
TRIAL006,denominator_or_population_mismatch,1
TRIAL007,different_arm_or_dose,1
TRIAL008,different_arm_or_dose,2
TRIAL009,different_arm_or_dose,12
TRIAL011,ctgov_mortality_not_fatal_ae,2
TRIAL011,denominator_or_population_mismatch,2
TRIAL011,different_arm_or_dose,68
TRIAL012,different_arm_or_dose,2
TRIAL013,ae_definition_or_causality_mismatch,1
TRIAL014,ctgov_time_window_difference,2
TRIAL014,different_arm_or_dose,6
TRIAL015,different_arm_or_dose,2
TRIAL019,different_arm_or_dose,4
TRIAL020,different_arm_or_dose,1
